"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000973"", status = ""Submitted successfully"")","99000000973","list(workflow_id = ""99000000973"", status = c(""TRAIT  2021-10-29 06:29:28  2021-10-29 06:29:29  DONE  "", ""META  2021-10-29 06:29:29  2021-10-29 06:29:29  DONE  "", ""CONFIG  2021-10-29 06:29:29  2021-10-29 06:29:30  DONE  "", ""MODEL  2021-10-29 06:29:30  2021-10-29 06:29:40  DONE  "", ""OUTPUT  2021-10-29 06:29:40  2021-10-29 06:29:40  DONE  "", ""ENSEMBLE  2021-10-29 06:29:40  2021-10-29 06:29:40  DONE  "", ""FINISHED  2021-10-29 06:29:40  2021-10-29 06:29:40  DONE  ""))","FINISHED  2021-10-29 06:29:40  2021-10-29 06:29:40  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000974"", status = ""Submitted successfully"")","99000000974","list(workflow_id = ""99000000974"", status = c(""TRAIT  2021-10-29 06:29:45  2021-10-29 06:29:45  DONE  "", ""META  2021-10-29 06:29:45  2021-10-29 06:29:45  DONE  "", ""CONFIG  2021-10-29 06:29:45  2021-10-29 06:29:46  DONE  "", ""MODEL  2021-10-29 06:29:46  2021-10-29 06:29:56  DONE  "", ""OUTPUT  2021-10-29 06:29:56  2021-10-29 06:29:56  DONE  "", ""ENSEMBLE  2021-10-29 06:29:56  2021-10-29 06:29:57  DONE  "", ""FINISHED  2021-10-29 06:29:57  2021-10-29 06:29:57  DONE  ""))","FINISHED  2021-10-29 06:29:57  2021-10-29 06:29:57  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000975"", status = ""Submitted successfully"")","99000000975","list(workflow_id = ""99000000975"", status = c(""TRAIT  2021-10-29 06:30:01  2021-10-29 06:30:02  DONE  "", ""META  2021-10-29 06:30:02  2021-10-29 06:30:02  DONE  "", ""CONFIG  2021-10-29 06:30:02  2021-10-29 06:30:02  DONE  "", ""MODEL  2021-10-29 06:30:02  2021-10-29 06:30:13  DONE  "", ""OUTPUT  2021-10-29 06:30:13  2021-10-29 06:30:13  DONE  "", ""ENSEMBLE  2021-10-29 06:30:13  2021-10-29 06:30:13  DONE  "", ""FINISHED  2021-10-29 06:30:13  2021-10-29 06:30:13  DONE  ""))","FINISHED  2021-10-29 06:30:13  2021-10-29 06:30:13  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000976"", status = ""Submitted successfully"")","99000000976","list(workflow_id = ""99000000976"", status = c(""TRAIT  2021-10-29 06:30:18  2021-10-29 06:30:19  DONE  "", ""META  2021-10-29 06:30:19  2021-10-29 06:30:19  DONE  "", ""CONFIG  2021-10-29 06:30:19  2021-10-29 06:30:20  DONE  "", ""MODEL  2021-10-29 06:30:20  2021-10-29 06:30:30  DONE  "", ""OUTPUT  2021-10-29 06:30:30  2021-10-29 06:30:30  DONE  "", ""ENSEMBLE  2021-10-29 06:30:30  2021-10-29 06:30:30  DONE  "", ""FINISHED  2021-10-29 06:30:30  2021-10-29 06:30:30  DONE  ""))","FINISHED  2021-10-29 06:30:30  2021-10-29 06:30:30  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000977"", status = ""Submitted successfully"")","99000000977","list(workflow_id = ""99000000977"", status = c(""TRAIT  2021-10-29 06:30:35  2021-10-29 06:30:36  DONE  "", ""META  2021-10-29 06:30:36  2021-10-29 06:30:36  DONE  "", ""CONFIG  2021-10-29 06:30:36  2021-10-29 06:30:37  DONE  "", ""MODEL  2021-10-29 06:30:37  2021-10-29 06:30:47  DONE  "", ""OUTPUT  2021-10-29 06:30:47  2021-10-29 06:30:47  DONE  "", ""ENSEMBLE  2021-10-29 06:30:47  2021-10-29 06:30:48  DONE  "", ""FINISHED  2021-10-29 06:30:48  2021-10-29 06:30:48  DONE  ""))","FINISHED  2021-10-29 06:30:48  2021-10-29 06:30:48  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000978"", status = ""Submitted successfully"")","99000000978","list(workflow_id = ""99000000978"", status = c(""TRAIT  2021-10-29 06:30:52  2021-10-29 06:30:53  DONE  "", ""META  2021-10-29 06:30:53  2021-10-29 06:30:53  DONE  "", ""CONFIG  2021-10-29 06:30:53  2021-10-29 06:30:54  DONE  "", ""MODEL  2021-10-29 06:30:54  2021-10-29 06:31:04  DONE  "", ""OUTPUT  2021-10-29 06:31:04  2021-10-29 06:31:04  DONE  "", ""ENSEMBLE  2021-10-29 06:31:04  2021-10-29 06:31:04  DONE  "", ""FINISHED  2021-10-29 06:31:04  2021-10-29 06:31:04  DONE  ""))","FINISHED  2021-10-29 06:31:04  2021-10-29 06:31:04  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000979"", status = ""Submitted successfully"")","99000000979","list(workflow_id = ""99000000979"", status = c(""TRAIT  2021-10-29 06:31:09  2021-10-29 06:31:10  DONE  "", ""META  2021-10-29 06:31:10  2021-10-29 06:31:10  DONE  "", ""CONFIG  2021-10-29 06:31:10  2021-10-29 06:31:11  DONE  "", ""MODEL  2021-10-29 06:31:11  2021-10-29 06:31:21  DONE  "", ""OUTPUT  2021-10-29 06:31:21  2021-10-29 06:31:21  DONE  "", ""ENSEMBLE  2021-10-29 06:31:21  2021-10-29 06:31:21  DONE  "", ""FINISHED  2021-10-29 06:31:21  2021-10-29 06:31:21  DONE  ""))","FINISHED  2021-10-29 06:31:21  2021-10-29 06:31:21  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000980"", status = ""Submitted successfully"")","99000000980","list(workflow_id = ""99000000980"", status = c(""TRAIT  2021-10-29 06:31:26  2021-10-29 06:31:28  DONE  "", ""META  2021-10-29 06:31:28  2021-10-29 06:31:28  DONE  "", ""CONFIG  2021-10-29 06:31:28  2021-10-29 06:31:28  DONE  "", ""MODEL  2021-10-29 06:31:28  2021-10-29 06:31:39  DONE  "", ""OUTPUT  2021-10-29 06:31:39  2021-10-29 06:31:39  DONE  "", ""ENSEMBLE  2021-10-29 06:31:39  2021-10-29 06:31:39  DONE  "", ""FINISHED  2021-10-29 06:31:39  2021-10-29 06:31:39  DONE  ""))","FINISHED  2021-10-29 06:31:39  2021-10-29 06:31:39  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000981"", status = ""Submitted successfully"")","99000000981","list(workflow_id = ""99000000981"", status = c(""TRAIT  2021-10-29 06:31:43  2021-10-29 06:31:44  DONE  "", ""META  2021-10-29 06:31:44  2021-10-29 06:31:44  DONE  "", ""CONFIG  2021-10-29 06:31:44  2021-10-29 06:31:44  DONE  "", ""MODEL  2021-10-29 06:31:44  2021-10-29 06:31:55  DONE  "", ""OUTPUT  2021-10-29 06:31:55  2021-10-29 06:31:55  DONE  "", ""ENSEMBLE  2021-10-29 06:31:55  2021-10-29 06:31:55  DONE  "", ""FINISHED  2021-10-29 06:31:55  2021-10-29 06:31:55  DONE  ""))","FINISHED  2021-10-29 06:31:55  2021-10-29 06:31:55  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000982"", status = ""Submitted successfully"")","99000000982","list(workflow_id = ""99000000982"", status = c(""TRAIT  2021-10-29 06:31:59  2021-10-29 06:32:00  DONE  "", ""META  2021-10-29 06:32:00  2021-10-29 06:32:00  DONE  "", ""CONFIG  2021-10-29 06:32:00  2021-10-29 06:32:01  DONE  "", ""MODEL  2021-10-29 06:32:01  2021-10-29 06:32:11  DONE  "", ""OUTPUT  2021-10-29 06:32:11  2021-10-29 06:32:11  DONE  "", ""ENSEMBLE  2021-10-29 06:32:11  2021-10-29 06:32:11  DONE  "", ""FINISHED  2021-10-29 06:32:11  2021-10-29 06:32:11  DONE  ""))","FINISHED  2021-10-29 06:32:11  2021-10-29 06:32:11  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
