"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002647"", status = ""Submitted successfully"")","99000002647","list(workflow_id = ""99000002647"", status = c(""TRAIT  2021-11-29 06:31:44  2021-11-29 06:31:45  DONE  "", ""META  2021-11-29 06:31:45  2021-11-29 06:31:45  DONE  "", ""CONFIG  2021-11-29 06:31:45  2021-11-29 06:31:45  DONE  "", ""MODEL  2021-11-29 06:31:45  2021-11-29 06:31:56  DONE  "", ""OUTPUT  2021-11-29 06:31:56  2021-11-29 06:31:56  DONE  "", ""ENSEMBLE  2021-11-29 06:31:56  2021-11-29 06:31:56  DONE  "", ""FINISHED  2021-11-29 06:31:56  2021-11-29 06:31:56  DONE  ""))","FINISHED  2021-11-29 06:31:56  2021-11-29 06:31:56  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002648"", status = ""Submitted successfully"")","99000002648","list(workflow_id = ""99000002648"", status = c(""TRAIT  2021-11-29 06:32:00  2021-11-29 06:32:01  DONE  "", ""META  2021-11-29 06:32:01  2021-11-29 06:32:01  DONE  "", ""CONFIG  2021-11-29 06:32:01  2021-11-29 06:32:02  DONE  "", ""MODEL  2021-11-29 06:32:02  2021-11-29 06:32:12  DONE  "", ""OUTPUT  2021-11-29 06:32:12  2021-11-29 06:32:12  DONE  "", ""ENSEMBLE  2021-11-29 06:32:12  2021-11-29 06:32:13  DONE  "", ""FINISHED  2021-11-29 06:32:13  2021-11-29 06:32:13  DONE  ""))","FINISHED  2021-11-29 06:32:13  2021-11-29 06:32:13  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002649"", status = ""Submitted successfully"")","99000002649","list(workflow_id = ""99000002649"", status = c(""TRAIT  2021-11-29 06:32:18  2021-11-29 06:32:19  DONE  "", ""META  2021-11-29 06:32:19  2021-11-29 06:32:19  DONE  "", ""CONFIG  2021-11-29 06:32:19  2021-11-29 06:32:19  DONE  "", ""MODEL  2021-11-29 06:32:19  2021-11-29 06:32:30  DONE  "", ""OUTPUT  2021-11-29 06:32:30  2021-11-29 06:32:30  DONE  "", ""ENSEMBLE  2021-11-29 06:32:30  2021-11-29 06:32:30  DONE  "", ""FINISHED  2021-11-29 06:32:30  2021-11-29 06:32:30  DONE  ""))","FINISHED  2021-11-29 06:32:30  2021-11-29 06:32:30  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002650"", status = ""Submitted successfully"")","99000002650","list(workflow_id = ""99000002650"", status = c(""TRAIT  2021-11-29 06:32:36  2021-11-29 06:32:37  DONE  "", ""META  2021-11-29 06:32:37  2021-11-29 06:32:37  DONE  "", ""CONFIG  2021-11-29 06:32:37  2021-11-29 06:32:38  DONE  "", ""MODEL  2021-11-29 06:32:38  2021-11-29 06:32:48  DONE  "", ""OUTPUT  2021-11-29 06:32:48  2021-11-29 06:32:48  DONE  "", ""ENSEMBLE  2021-11-29 06:32:48  2021-11-29 06:32:48  DONE  "", ""FINISHED  2021-11-29 06:32:48  2021-11-29 06:32:48  DONE  ""))","FINISHED  2021-11-29 06:32:48  2021-11-29 06:32:48  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002651"", status = ""Submitted successfully"")","99000002651","list(workflow_id = ""99000002651"", status = c(""TRAIT  2021-11-29 06:32:53  2021-11-29 06:32:54  DONE  "", ""META  2021-11-29 06:32:54  2021-11-29 06:32:54  DONE  "", ""CONFIG  2021-11-29 06:32:54  2021-11-29 06:32:55  DONE  "", ""MODEL  2021-11-29 06:32:55  2021-11-29 06:33:05  DONE  "", ""OUTPUT  2021-11-29 06:33:05  2021-11-29 06:33:05  DONE  "", ""ENSEMBLE  2021-11-29 06:33:05  2021-11-29 06:33:06  DONE  "", ""FINISHED  2021-11-29 06:33:06  2021-11-29 06:33:06  DONE  ""))","FINISHED  2021-11-29 06:33:06  2021-11-29 06:33:06  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002652"", status = ""Submitted successfully"")","99000002652","list(workflow_id = ""99000002652"", status = c(""TRAIT  2021-11-29 06:33:10  2021-11-29 06:33:11  DONE  "", ""META  2021-11-29 06:33:11  2021-11-29 06:33:11  DONE  "", ""CONFIG  2021-11-29 06:33:11  2021-11-29 06:33:11  DONE  "", ""MODEL  2021-11-29 06:33:11  2021-11-29 06:33:22  DONE  "", ""OUTPUT  2021-11-29 06:33:22  2021-11-29 06:33:22  DONE  "", ""ENSEMBLE  2021-11-29 06:33:22  2021-11-29 06:33:22  DONE  "", ""FINISHED  2021-11-29 06:33:22  2021-11-29 06:33:22  DONE  ""))","FINISHED  2021-11-29 06:33:22  2021-11-29 06:33:22  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002653"", status = ""Submitted successfully"")","99000002653","list(workflow_id = ""99000002653"", status = c(""TRAIT  2021-11-29 06:33:26  2021-11-29 06:33:27  DONE  "", ""META  2021-11-29 06:33:27  2021-11-29 06:33:27  DONE  "", ""CONFIG  2021-11-29 06:33:27  2021-11-29 06:33:28  DONE  "", ""MODEL  2021-11-29 06:33:28  2021-11-29 06:33:38  DONE  "", ""OUTPUT  2021-11-29 06:33:38  2021-11-29 06:33:38  DONE  "", ""ENSEMBLE  2021-11-29 06:33:38  2021-11-29 06:33:39  DONE  "", ""FINISHED  2021-11-29 06:33:39  2021-11-29 06:33:39  DONE  ""))","FINISHED  2021-11-29 06:33:39  2021-11-29 06:33:39  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002654"", status = ""Submitted successfully"")","99000002654","list(workflow_id = ""99000002654"", status = c(""TRAIT  2021-11-29 06:33:44  2021-11-29 06:33:45  DONE  "", ""META  2021-11-29 06:33:45  2021-11-29 06:33:45  DONE  "", ""CONFIG  2021-11-29 06:33:45  2021-11-29 06:33:46  DONE  "", ""MODEL  2021-11-29 06:33:46  2021-11-29 06:33:56  DONE  "", ""OUTPUT  2021-11-29 06:33:56  2021-11-29 06:33:56  DONE  "", ""ENSEMBLE  2021-11-29 06:33:56  2021-11-29 06:33:57  DONE  "", ""FINISHED  2021-11-29 06:33:57  2021-11-29 06:33:57  DONE  ""))","FINISHED  2021-11-29 06:33:57  2021-11-29 06:33:57  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002655"", status = ""Submitted successfully"")","99000002655","list(workflow_id = ""99000002655"", status = c(""TRAIT  2021-11-29 06:34:01  2021-11-29 06:34:01  DONE  "", ""META  2021-11-29 06:34:01  2021-11-29 06:34:01  DONE  "", ""CONFIG  2021-11-29 06:34:01  2021-11-29 06:34:02  DONE  "", ""MODEL  2021-11-29 06:34:02  2021-11-29 06:34:12  DONE  "", ""OUTPUT  2021-11-29 06:34:12  2021-11-29 06:34:12  DONE  "", ""ENSEMBLE  2021-11-29 06:34:12  2021-11-29 06:34:13  DONE  "", ""FINISHED  2021-11-29 06:34:13  2021-11-29 06:34:13  DONE  ""))","FINISHED  2021-11-29 06:34:13  2021-11-29 06:34:13  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002656"", status = ""Submitted successfully"")","99000002656","list(workflow_id = ""99000002656"", status = c(""TRAIT  2021-11-29 06:34:18  2021-11-29 06:34:19  DONE  "", ""META  2021-11-29 06:34:19  2021-11-29 06:34:19  DONE  "", ""CONFIG  2021-11-29 06:34:19  2021-11-29 06:34:20  DONE  "", ""MODEL  2021-11-29 06:34:20  2021-11-29 06:34:30  DONE  "", ""OUTPUT  2021-11-29 06:34:30  2021-11-29 06:34:30  DONE  "", ""ENSEMBLE  2021-11-29 06:34:30  2021-11-29 06:34:30  DONE  "", ""FINISHED  2021-11-29 06:34:30  2021-11-29 06:34:30  DONE  ""))","FINISHED  2021-11-29 06:34:30  2021-11-29 06:34:30  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
