"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015255"", status = ""Submitted successfully"")","99000015255","list(workflow_id = ""99000015255"", status = c(""TRAIT  2022-07-23 06:14:52  2022-07-23 06:14:53  DONE  "", ""META  2022-07-23 06:14:53  2022-07-23 06:14:53  DONE  "", ""CONFIG  2022-07-23 06:14:53  2022-07-23 06:14:54  DONE  "", ""MODEL  2022-07-23 06:14:54  2022-07-23 06:15:05  DONE  "", ""OUTPUT  2022-07-23 06:15:05  2022-07-23 06:15:05  DONE  "", ""ENSEMBLE  2022-07-23 06:15:05  2022-07-23 06:15:05  DONE  "", ""FINISHED  2022-07-23 06:15:05  2022-07-23 06:15:05  DONE  ""))","FINISHED  2022-07-23 06:15:05  2022-07-23 06:15:05  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015256"", status = ""Submitted successfully"")","99000015256","list(workflow_id = ""99000015256"", status = c(""TRAIT  2022-07-23 06:15:09  2022-07-23 06:15:10  DONE  "", ""META  2022-07-23 06:15:10  2022-07-23 06:15:10  DONE  "", ""CONFIG  2022-07-23 06:15:10  2022-07-23 06:15:11  DONE  "", ""MODEL  2022-07-23 06:15:11  2022-07-23 06:15:21  DONE  "", ""OUTPUT  2022-07-23 06:15:21  2022-07-23 06:15:21  DONE  "", ""ENSEMBLE  2022-07-23 06:15:21  2022-07-23 06:15:22  DONE  "", ""FINISHED  2022-07-23 06:15:22  2022-07-23 06:15:22  DONE  ""))","FINISHED  2022-07-23 06:15:22  2022-07-23 06:15:22  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015257"", status = ""Submitted successfully"")","99000015257","list(workflow_id = ""99000015257"", status = c(""TRAIT  2022-07-23 06:15:26  2022-07-23 06:15:27  DONE  "", ""META  2022-07-23 06:15:27  2022-07-23 06:15:27  DONE  "", ""CONFIG  2022-07-23 06:15:27  2022-07-23 06:15:28  DONE  "", ""MODEL  2022-07-23 06:15:28  2022-07-23 06:15:38  DONE  "", ""OUTPUT  2022-07-23 06:15:38  2022-07-23 06:15:38  DONE  "", ""ENSEMBLE  2022-07-23 06:15:38  2022-07-23 06:15:38  DONE  "", ""FINISHED  2022-07-23 06:15:38  2022-07-23 06:15:38  DONE  ""))","FINISHED  2022-07-23 06:15:38  2022-07-23 06:15:38  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015258"", status = ""Submitted successfully"")","99000015258","list(workflow_id = ""99000015258"", status = c(""TRAIT  2022-07-23 06:15:44  2022-07-23 06:15:45  DONE  "", ""META  2022-07-23 06:15:45  2022-07-23 06:15:45  DONE  "", ""CONFIG  2022-07-23 06:15:45  2022-07-23 06:15:46  DONE  "", ""MODEL  2022-07-23 06:15:46  2022-07-23 06:15:56  DONE  "", ""OUTPUT  2022-07-23 06:15:56  2022-07-23 06:15:56  DONE  "", ""ENSEMBLE  2022-07-23 06:15:56  2022-07-23 06:15:56  DONE  "", ""FINISHED  2022-07-23 06:15:56  2022-07-23 06:15:56  DONE  ""))","FINISHED  2022-07-23 06:15:56  2022-07-23 06:15:56  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015259"", status = ""Submitted successfully"")","99000015259","list(workflow_id = ""99000015259"", status = c(""TRAIT  2022-07-23 06:16:01  2022-07-23 06:16:02  DONE  "", ""META  2022-07-23 06:16:02  2022-07-23 06:16:02  DONE  "", ""CONFIG  2022-07-23 06:16:02  2022-07-23 06:16:04  DONE  "", ""MODEL  2022-07-23 06:16:04  2022-07-23 06:16:14  DONE  "", ""OUTPUT  2022-07-23 06:16:14  2022-07-23 06:16:14  DONE  "", ""ENSEMBLE  2022-07-23 06:16:14  2022-07-23 06:16:14  DONE  "", ""FINISHED  2022-07-23 06:16:14  2022-07-23 06:16:14  DONE  ""))","FINISHED  2022-07-23 06:16:14  2022-07-23 06:16:14  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015260"", status = ""Submitted successfully"")","99000015260","list(workflow_id = ""99000015260"", status = c(""TRAIT  2022-07-23 06:16:19  2022-07-23 06:16:20  DONE  "", ""META  2022-07-23 06:16:20  2022-07-23 06:16:20  DONE  "", ""CONFIG  2022-07-23 06:16:20  2022-07-23 06:16:21  DONE  "", ""MODEL  2022-07-23 06:16:21  2022-07-23 06:16:31  DONE  "", ""OUTPUT  2022-07-23 06:16:31  2022-07-23 06:16:31  DONE  "", ""ENSEMBLE  2022-07-23 06:16:31  2022-07-23 06:16:32  DONE  "", ""FINISHED  2022-07-23 06:16:32  2022-07-23 06:16:32  DONE  ""))","FINISHED  2022-07-23 06:16:32  2022-07-23 06:16:32  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015261"", status = ""Submitted successfully"")","99000015261","list(workflow_id = ""99000015261"", status = c(""TRAIT  2022-07-23 06:16:36  2022-07-23 06:16:37  DONE  "", ""META  2022-07-23 06:16:37  2022-07-23 06:16:37  DONE  "", ""CONFIG  2022-07-23 06:16:37  2022-07-23 06:16:38  DONE  "", ""MODEL  2022-07-23 06:16:38  2022-07-23 06:16:49  DONE  "", ""OUTPUT  2022-07-23 06:16:49  2022-07-23 06:16:49  DONE  "", ""ENSEMBLE  2022-07-23 06:16:49  2022-07-23 06:16:49  DONE  "", ""FINISHED  2022-07-23 06:16:49  2022-07-23 06:16:49  DONE  ""))","FINISHED  2022-07-23 06:16:49  2022-07-23 06:16:49  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015262"", status = ""Submitted successfully"")","99000015262","list(workflow_id = ""99000015262"", status = c(""TRAIT  2022-07-23 06:16:53  2022-07-23 06:16:54  DONE  "", ""META  2022-07-23 06:16:54  2022-07-23 06:16:54  DONE  "", ""CONFIG  2022-07-23 06:16:54  2022-07-23 06:16:56  DONE  "", ""MODEL  2022-07-23 06:16:56  2022-07-23 06:17:06  DONE  "", ""OUTPUT  2022-07-23 06:17:06  2022-07-23 06:17:06  DONE  "", ""ENSEMBLE  2022-07-23 06:17:06  2022-07-23 06:17:06  DONE  "", ""FINISHED  2022-07-23 06:17:06  2022-07-23 06:17:06  DONE  ""))","FINISHED  2022-07-23 06:17:06  2022-07-23 06:17:06  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015263"", status = ""Submitted successfully"")","99000015263","list(workflow_id = ""99000015263"", status = c(""TRAIT  2022-07-23 06:17:10  2022-07-23 06:17:11  DONE  "", ""META  2022-07-23 06:17:11  2022-07-23 06:17:11  DONE  "", ""CONFIG  2022-07-23 06:17:11  2022-07-23 06:17:12  DONE  "", ""MODEL  2022-07-23 06:17:12  2022-07-23 06:17:22  DONE  "", ""OUTPUT  2022-07-23 06:17:22  2022-07-23 06:17:22  DONE  "", ""ENSEMBLE  2022-07-23 06:17:22  2022-07-23 06:17:23  DONE  "", ""FINISHED  2022-07-23 06:17:23  2022-07-23 06:17:23  DONE  ""))","FINISHED  2022-07-23 06:17:23  2022-07-23 06:17:23  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000015264"", status = ""Submitted successfully"")","99000015264","list(workflow_id = ""99000015264"", status = c(""TRAIT  2022-07-23 06:17:28  2022-07-23 06:17:28  DONE  "", ""META  2022-07-23 06:17:28  2022-07-23 06:17:28  DONE  "", ""CONFIG  2022-07-23 06:17:28  2022-07-23 06:17:30  DONE  "", ""MODEL  2022-07-23 06:17:30  2022-07-23 06:17:40  DONE  "", ""OUTPUT  2022-07-23 06:17:40  2022-07-23 06:17:40  DONE  "", ""ENSEMBLE  2022-07-23 06:17:40  2022-07-23 06:17:40  DONE  "", ""FINISHED  2022-07-23 06:17:40  2022-07-23 06:17:40  DONE  ""))","FINISHED  2022-07-23 06:17:40  2022-07-23 06:17:40  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
