"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000163"", status = ""Submitted successfully"")","99000000163","list(workflow_id = ""99000000163"", status = c(""TRAIT  2021-10-14 06:29:51  2021-10-14 06:29:51  DONE  "", ""META  2021-10-14 06:29:51  2021-10-14 06:29:51  DONE  "", ""CONFIG  2021-10-14 06:29:51  2021-10-14 06:29:52  DONE  "", ""MODEL  2021-10-14 06:29:52  2021-10-14 06:30:02  DONE  "", ""OUTPUT  2021-10-14 06:30:02  2021-10-14 06:30:02  DONE  "", ""ENSEMBLE  2021-10-14 06:30:02  2021-10-14 06:30:03  DONE  "", ""FINISHED  2021-10-14 06:30:03  2021-10-14 06:30:03  DONE  ""))","FINISHED  2021-10-14 06:30:03  2021-10-14 06:30:03  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000164"", status = ""Submitted successfully"")","99000000164","list(workflow_id = ""99000000164"", status = c(""TRAIT  2021-10-14 06:30:06  2021-10-14 06:30:07  DONE  "", ""META  2021-10-14 06:30:07  2021-10-14 06:30:07  DONE  "", ""CONFIG  2021-10-14 06:30:07  2021-10-14 06:30:08  DONE  "", ""MODEL  2021-10-14 06:30:08  2021-10-14 06:30:18  DONE  "", ""OUTPUT  2021-10-14 06:30:18  2021-10-14 06:30:18  DONE  "", ""ENSEMBLE  2021-10-14 06:30:18  2021-10-14 06:30:18  DONE  "", ""FINISHED  2021-10-14 06:30:18  2021-10-14 06:30:18  DONE  ""))","FINISHED  2021-10-14 06:30:18  2021-10-14 06:30:18  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000165"", status = ""Submitted successfully"")","99000000165","list(workflow_id = ""99000000165"", status = c(""TRAIT  2021-10-14 06:30:23  2021-10-14 06:30:24  DONE  "", ""META  2021-10-14 06:30:24  2021-10-14 06:30:24  DONE  "", ""CONFIG  2021-10-14 06:30:24  2021-10-14 06:30:25  DONE  "", ""MODEL  2021-10-14 06:30:25  2021-10-14 06:30:35  DONE  "", ""OUTPUT  2021-10-14 06:30:35  2021-10-14 06:30:35  DONE  "", ""ENSEMBLE  2021-10-14 06:30:35  2021-10-14 06:30:35  DONE  "", ""FINISHED  2021-10-14 06:30:35  2021-10-14 06:30:35  DONE  ""))","FINISHED  2021-10-14 06:30:35  2021-10-14 06:30:35  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000166"", status = ""Submitted successfully"")","99000000166","list(workflow_id = ""99000000166"", status = c(""TRAIT  2021-10-14 06:30:40  2021-10-14 06:30:41  DONE  "", ""META  2021-10-14 06:30:41  2021-10-14 06:30:41  DONE  "", ""CONFIG  2021-10-14 06:30:41  2021-10-14 06:30:41  DONE  "", ""MODEL  2021-10-14 06:30:41  2021-10-14 06:30:52  DONE  "", ""OUTPUT  2021-10-14 06:30:52  2021-10-14 06:30:52  DONE  "", ""ENSEMBLE  2021-10-14 06:30:52  2021-10-14 06:30:52  DONE  "", ""FINISHED  2021-10-14 06:30:52  2021-10-14 06:30:52  DONE  ""))","FINISHED  2021-10-14 06:30:52  2021-10-14 06:30:52  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000167"", status = ""Submitted successfully"")","99000000167","list(workflow_id = ""99000000167"", status = c(""TRAIT  2021-10-14 06:30:56  2021-10-14 06:30:57  DONE  "", ""META  2021-10-14 06:30:57  2021-10-14 06:30:57  DONE  "", ""CONFIG  2021-10-14 06:30:57  2021-10-14 06:30:57  DONE  "", ""MODEL  2021-10-14 06:30:57  2021-10-14 06:31:08  DONE  "", ""OUTPUT  2021-10-14 06:31:08  2021-10-14 06:31:08  DONE  "", ""ENSEMBLE  2021-10-14 06:31:08  2021-10-14 06:31:08  DONE  "", ""FINISHED  2021-10-14 06:31:08  2021-10-14 06:31:08  DONE  ""))","FINISHED  2021-10-14 06:31:08  2021-10-14 06:31:08  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000168"", status = ""Submitted successfully"")","99000000168","list(workflow_id = ""99000000168"", status = c(""TRAIT  2021-10-14 06:31:13  2021-10-14 06:31:14  DONE  "", ""META  2021-10-14 06:31:14  2021-10-14 06:31:14  DONE  "", ""CONFIG  2021-10-14 06:31:14  2021-10-14 06:31:15  DONE  "", ""MODEL  2021-10-14 06:31:15  2021-10-14 06:31:25  DONE  "", ""OUTPUT  2021-10-14 06:31:25  2021-10-14 06:31:25  DONE  "", ""ENSEMBLE  2021-10-14 06:31:25  2021-10-14 06:31:25  DONE  "", ""FINISHED  2021-10-14 06:31:25  2021-10-14 06:31:25  DONE  ""))","FINISHED  2021-10-14 06:31:25  2021-10-14 06:31:25  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000169"", status = ""Submitted successfully"")","99000000169","list(workflow_id = ""99000000169"", status = c(""TRAIT  2021-10-14 06:31:30  2021-10-14 06:31:31  DONE  "", ""META  2021-10-14 06:31:31  2021-10-14 06:31:31  DONE  "", ""CONFIG  2021-10-14 06:31:31  2021-10-14 06:31:31  DONE  "", ""MODEL  2021-10-14 06:31:31  2021-10-14 06:31:42  DONE  "", ""OUTPUT  2021-10-14 06:31:42  2021-10-14 06:31:42  DONE  "", ""ENSEMBLE  2021-10-14 06:31:42  2021-10-14 06:31:42  DONE  "", ""FINISHED  2021-10-14 06:31:42  2021-10-14 06:31:42  DONE  ""))","FINISHED  2021-10-14 06:31:42  2021-10-14 06:31:42  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000170"", status = ""Submitted successfully"")","99000000170","list(workflow_id = ""99000000170"", status = c(""TRAIT  2021-10-14 06:31:46  2021-10-14 06:31:47  DONE  "", ""META  2021-10-14 06:31:47  2021-10-14 06:31:47  DONE  "", ""CONFIG  2021-10-14 06:31:47  2021-10-14 06:31:48  DONE  "", ""MODEL  2021-10-14 06:31:48  2021-10-14 06:31:58  DONE  "", ""OUTPUT  2021-10-14 06:31:58  2021-10-14 06:31:58  DONE  "", ""ENSEMBLE  2021-10-14 06:31:58  2021-10-14 06:31:58  DONE  "", ""FINISHED  2021-10-14 06:31:58  2021-10-14 06:31:58  DONE  ""))","FINISHED  2021-10-14 06:31:58  2021-10-14 06:31:58  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000171"", status = ""Submitted successfully"")","99000000171","list(workflow_id = ""99000000171"", status = c(""TRAIT  2021-10-14 06:32:03  2021-10-14 06:32:04  DONE  "", ""META  2021-10-14 06:32:04  2021-10-14 06:32:04  DONE  "", ""CONFIG  2021-10-14 06:32:04  2021-10-14 06:32:04  DONE  "", ""MODEL  2021-10-14 06:32:04  2021-10-14 06:32:15  DONE  "", ""OUTPUT  2021-10-14 06:32:15  2021-10-14 06:32:15  DONE  "", ""ENSEMBLE  2021-10-14 06:32:15  2021-10-14 06:32:15  DONE  "", ""FINISHED  2021-10-14 06:32:15  2021-10-14 06:32:15  DONE  ""))","FINISHED  2021-10-14 06:32:15  2021-10-14 06:32:15  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000172"", status = ""Submitted successfully"")","99000000172","list(workflow_id = ""99000000172"", status = c(""TRAIT  2021-10-14 06:32:19  2021-10-14 06:32:20  DONE  "", ""META  2021-10-14 06:32:20  2021-10-14 06:32:20  DONE  "", ""CONFIG  2021-10-14 06:32:20  2021-10-14 06:32:21  DONE  "", ""MODEL  2021-10-14 06:32:21  2021-10-14 06:32:31  DONE  "", ""OUTPUT  2021-10-14 06:32:31  2021-10-14 06:32:31  DONE  "", ""ENSEMBLE  2021-10-14 06:32:31  2021-10-14 06:32:31  DONE  "", ""FINISHED  2021-10-14 06:32:31  2021-10-14 06:32:31  DONE  ""))","FINISHED  2021-10-14 06:32:31  2021-10-14 06:32:31  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
