"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013066"", status = ""Submitted successfully"")","99000013066","list(workflow_id = ""99000013066"", status = c(""TRAIT  2022-06-14 06:15:18  2022-06-14 06:15:19  DONE  "", ""META  2022-06-14 06:15:19  2022-06-14 06:15:19  DONE  "", ""CONFIG  2022-06-14 06:15:19  2022-06-14 06:15:20  DONE  "", ""MODEL  2022-06-14 06:15:20  2022-06-14 06:15:30  DONE  "", ""OUTPUT  2022-06-14 06:15:30  2022-06-14 06:15:30  DONE  "", ""ENSEMBLE  2022-06-14 06:15:30  2022-06-14 06:15:31  DONE  "", ""FINISHED  2022-06-14 06:15:31  2022-06-14 06:15:31  DONE  ""))","FINISHED  2022-06-14 06:15:31  2022-06-14 06:15:31  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013067"", status = ""Submitted successfully"")","99000013067","list(workflow_id = ""99000013067"", status = c(""TRAIT  2022-06-14 06:15:35  2022-06-14 06:15:36  DONE  "", ""META  2022-06-14 06:15:36  2022-06-14 06:15:36  DONE  "", ""CONFIG  2022-06-14 06:15:36  2022-06-14 06:15:37  DONE  "", ""MODEL  2022-06-14 06:15:37  2022-06-14 06:15:47  DONE  "", ""OUTPUT  2022-06-14 06:15:47  2022-06-14 06:15:47  DONE  "", ""ENSEMBLE  2022-06-14 06:15:47  2022-06-14 06:15:48  DONE  "", ""FINISHED  2022-06-14 06:15:48  2022-06-14 06:15:48  DONE  ""))","FINISHED  2022-06-14 06:15:48  2022-06-14 06:15:48  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013068"", status = ""Submitted successfully"")","99000013068","list(workflow_id = ""99000013068"", status = c(""TRAIT  2022-06-14 06:15:52  2022-06-14 06:15:53  DONE  "", ""META  2022-06-14 06:15:53  2022-06-14 06:15:53  DONE  "", ""CONFIG  2022-06-14 06:15:53  2022-06-14 06:15:54  DONE  "", ""MODEL  2022-06-14 06:15:54  2022-06-14 06:16:04  DONE  "", ""OUTPUT  2022-06-14 06:16:04  2022-06-14 06:16:04  DONE  "", ""ENSEMBLE  2022-06-14 06:16:04  2022-06-14 06:16:04  DONE  "", ""FINISHED  2022-06-14 06:16:04  2022-06-14 06:16:04  DONE  ""))","FINISHED  2022-06-14 06:16:04  2022-06-14 06:16:04  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013069"", status = ""Submitted successfully"")","99000013069","list(workflow_id = ""99000013069"", status = c(""TRAIT  2022-06-14 06:16:10  2022-06-14 06:16:11  DONE  "", ""META  2022-06-14 06:16:11  2022-06-14 06:16:11  DONE  "", ""CONFIG  2022-06-14 06:16:11  2022-06-14 06:16:12  DONE  "", ""MODEL  2022-06-14 06:16:12  2022-06-14 06:16:22  DONE  "", ""OUTPUT  2022-06-14 06:16:22  2022-06-14 06:16:22  DONE  "", ""ENSEMBLE  2022-06-14 06:16:22  2022-06-14 06:16:22  DONE  "", ""FINISHED  2022-06-14 06:16:22  2022-06-14 06:16:22  DONE  ""))","FINISHED  2022-06-14 06:16:22  2022-06-14 06:16:22  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013070"", status = ""Submitted successfully"")","99000013070","list(workflow_id = ""99000013070"", status = c(""TRAIT  2022-06-14 06:16:27  2022-06-14 06:16:28  DONE  "", ""META  2022-06-14 06:16:28  2022-06-14 06:16:28  DONE  "", ""CONFIG  2022-06-14 06:16:28  2022-06-14 06:16:29  DONE  "", ""MODEL  2022-06-14 06:16:29  2022-06-14 06:16:39  DONE  "", ""OUTPUT  2022-06-14 06:16:39  2022-06-14 06:16:39  DONE  "", ""ENSEMBLE  2022-06-14 06:16:39  2022-06-14 06:16:39  DONE  "", ""FINISHED  2022-06-14 06:16:39  2022-06-14 06:16:39  DONE  ""))","FINISHED  2022-06-14 06:16:39  2022-06-14 06:16:39  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013071"", status = ""Submitted successfully"")","99000013071","list(workflow_id = ""99000013071"", status = c(""TRAIT  2022-06-14 06:16:44  2022-06-14 06:16:45  DONE  "", ""META  2022-06-14 06:16:45  2022-06-14 06:16:45  DONE  "", ""CONFIG  2022-06-14 06:16:45  2022-06-14 06:16:45  DONE  "", ""MODEL  2022-06-14 06:16:45  2022-06-14 06:16:56  DONE  "", ""OUTPUT  2022-06-14 06:16:56  2022-06-14 06:16:56  DONE  "", ""ENSEMBLE  2022-06-14 06:16:56  2022-06-14 06:16:56  DONE  "", ""FINISHED  2022-06-14 06:16:56  2022-06-14 06:16:56  DONE  ""))","FINISHED  2022-06-14 06:16:56  2022-06-14 06:16:56  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013072"", status = ""Submitted successfully"")","99000013072","list(workflow_id = ""99000013072"", status = c(""TRAIT  2022-06-14 06:17:01  2022-06-14 06:17:02  DONE  "", ""META  2022-06-14 06:17:02  2022-06-14 06:17:02  DONE  "", ""CONFIG  2022-06-14 06:17:02  2022-06-14 06:17:03  DONE  "", ""MODEL  2022-06-14 06:17:03  2022-06-14 06:17:13  DONE  "", ""OUTPUT  2022-06-14 06:17:13  2022-06-14 06:17:13  DONE  "", ""ENSEMBLE  2022-06-14 06:17:13  2022-06-14 06:17:13  DONE  "", ""FINISHED  2022-06-14 06:17:13  2022-06-14 06:17:13  DONE  ""))","FINISHED  2022-06-14 06:17:13  2022-06-14 06:17:13  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013073"", status = ""Submitted successfully"")","99000013073","list(workflow_id = ""99000013073"", status = c(""TRAIT  2022-06-14 06:17:18  2022-06-14 06:17:19  DONE  "", ""META  2022-06-14 06:17:19  2022-06-14 06:17:19  DONE  "", ""CONFIG  2022-06-14 06:17:19  2022-06-14 06:17:20  DONE  "", ""MODEL  2022-06-14 06:17:20  2022-06-14 06:17:30  DONE  "", ""OUTPUT  2022-06-14 06:17:30  2022-06-14 06:17:30  DONE  "", ""ENSEMBLE  2022-06-14 06:17:30  2022-06-14 06:17:30  DONE  "", ""FINISHED  2022-06-14 06:17:30  2022-06-14 06:17:30  DONE  ""))","FINISHED  2022-06-14 06:17:30  2022-06-14 06:17:30  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013074"", status = ""Submitted successfully"")","99000013074","list(workflow_id = ""99000013074"", status = c(""TRAIT  2022-06-14 06:17:35  2022-06-14 06:17:35  DONE  "", ""META  2022-06-14 06:17:35  2022-06-14 06:17:35  DONE  "", ""CONFIG  2022-06-14 06:17:35  2022-06-14 06:17:36  DONE  "", ""MODEL  2022-06-14 06:17:36  2022-06-14 06:17:46  DONE  "", ""OUTPUT  2022-06-14 06:17:46  2022-06-14 06:17:46  DONE  "", ""ENSEMBLE  2022-06-14 06:17:46  2022-06-14 06:17:47  DONE  "", ""FINISHED  2022-06-14 06:17:47  2022-06-14 06:17:47  DONE  ""))","FINISHED  2022-06-14 06:17:47  2022-06-14 06:17:47  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013075"", status = ""Submitted successfully"")","99000013075","list(workflow_id = ""99000013075"", status = c(""TRAIT  2022-06-14 06:17:52  2022-06-14 06:17:53  DONE  "", ""META  2022-06-14 06:17:53  2022-06-14 06:17:53  DONE  "", ""CONFIG  2022-06-14 06:17:53  2022-06-14 06:17:54  DONE  "", ""MODEL  2022-06-14 06:17:54  2022-06-14 06:18:04  DONE  "", ""OUTPUT  2022-06-14 06:18:04  2022-06-14 06:18:04  DONE  "", ""ENSEMBLE  2022-06-14 06:18:04  2022-06-14 06:18:04  DONE  "", ""FINISHED  2022-06-14 06:18:04  2022-06-14 06:18:04  DONE  ""))","FINISHED  2022-06-14 06:18:04  2022-06-14 06:18:04  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
"11","679","temperate.wetland","2004-01-01","2004-12-31","FALSE","1","Permanent wetlands, Lost Creek (US-Los)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013076"", status = ""Submitted successfully"")","99000013076","list(workflow_id = ""99000013076"", status = c(""TRAIT  2022-06-14 06:18:10  2022-06-14 06:18:11  DONE  "", ""META  2022-06-14 06:18:11  2022-06-14 06:18:11  DONE  "", ""CONFIG  2022-06-14 06:18:11  2022-06-14 06:18:12  DONE  "", ""MODEL  2022-06-14 06:18:12  2022-06-14 06:18:22  DONE  "", ""OUTPUT  2022-06-14 06:18:22  2022-06-14 06:18:22  DONE  "", ""ENSEMBLE  2022-06-14 06:18:22  2022-06-14 06:18:22  DONE  "", ""FINISHED  2022-06-14 06:18:22  2022-06-14 06:18:22  DONE  ""))","FINISHED  2022-06-14 06:18:22  2022-06-14 06:18:22  DONE  ","TRUE","SIPNET","Lost Creek LCR (US-Los)","CRUNCEP"
"12","591","tundra.grasses","2004-01-01","2004-12-31","FALSE","1","Tundra, Arctic Long-Term Ecological Research (LTER) Toolik Lake","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013077"", status = ""Submitted successfully"")","99000013077","list(workflow_id = ""99000013077"", status = c(""TRAIT  2022-06-14 06:18:27  2022-06-14 06:18:28  DONE  "", ""META  2022-06-14 06:18:28  2022-06-14 06:18:28  DONE  "", ""CONFIG  2022-06-14 06:18:28  2022-06-14 06:18:29  DONE  "", ""MODEL  2022-06-14 06:18:29  2022-06-14 06:18:39  DONE  "", ""OUTPUT  2022-06-14 06:18:39  2022-06-14 06:18:39  DONE  "", ""ENSEMBLE  2022-06-14 06:18:39  2022-06-14 06:18:39  DONE  "", ""FINISHED  2022-06-14 06:18:39  2022-06-14 06:18:39  DONE  ""))","FINISHED  2022-06-14 06:18:39  2022-06-14 06:18:39  DONE  ","TRUE","SIPNET","Arctic Long-Term Ecological Research (LTER)","CRUNCEP"
"13","76","semiarid.grassland","2004-01-01","2004-12-31","FALSE","1","Agriculture, EBI Energy Farm","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013078"", status = ""Submitted successfully"")","99000013078","list(workflow_id = ""99000013078"", status = c(""TRAIT  2022-06-14 06:18:44  2022-06-14 06:18:44  DONE  "", ""META  2022-06-14 06:18:44  2022-06-14 06:18:44  DONE  "", ""CONFIG  2022-06-14 06:18:44  2022-06-14 06:18:45  DONE  "", ""MODEL  2022-06-14 06:18:45  2022-06-14 06:18:55  DONE  "", ""OUTPUT  2022-06-14 06:18:55  2022-06-14 06:18:55  DONE  "", ""ENSEMBLE  2022-06-14 06:18:55  2022-06-14 06:18:56  DONE  "", ""FINISHED  2022-06-14 06:18:56  2022-06-14 06:18:56  DONE  ""))","FINISHED  2022-06-14 06:18:56  2022-06-14 06:18:56  DONE  ","TRUE","SIPNET","EBI Energy farm","CRUNCEP"
"14","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Niwot Ridge","1000000014","list(met = list(source = ""AmerifluxLBL""))","list()","list(workflow_id = ""99000013079"", status = ""Submitted successfully"")","99000013079","list(workflow_id = ""99000013079"", status = c(""TRAIT  2022-06-14 06:19:00  2022-06-14 06:19:01  DONE  "", ""META  2022-06-14 06:19:01  2022-06-14 06:19:01  DONE  "", ""CONFIG  2022-06-14 06:19:01  2022-06-14 06:19:02  DONE  "", ""MODEL  2022-06-14 06:19:02  2022-06-14 06:19:12  DONE  "", ""OUTPUT  2022-06-14 06:19:12  2022-06-14 06:19:12  DONE  "", ""ENSEMBLE  2022-06-14 06:19:12  2022-06-14 06:19:16  DONE  "", ""FINISHED  2022-06-14 06:19:16  2022-06-14 06:19:16  DONE  ""))","FINISHED  2022-06-14 06:19:16  2022-06-14 06:19:16  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","AmerifluxLBL"
"15","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Niwot Ridge","1000000014","list(met = list(source = ""FLUXNET2015""))","list()","list(workflow_id = ""99000013080"", status = ""Submitted successfully"")","99000013080","list(workflow_id = ""99000013080"", status = ""  2022-06-14 06:19:19  ERROR  "")","  2022-06-14 06:19:19  ERROR  ","FALSE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","AmerifluxLBL"
"16","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Niwot Ridge","1000000014","list(met = list(source = ""NARR""))","list()","list(workflow_id = ""99000013081"", status = ""Submitted successfully"")","99000013081","list(workflow_id = ""99000013081"", status = ""  2022-06-14 06:19:24  ERROR  "")","  2022-06-14 06:19:24  ERROR  ","FALSE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","AmerifluxLBL"
"17","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Niwot Ridge","1000000014","list(met = list(source = ""GFDL""))","list()","list(workflow_id = ""99000013082"", status = ""Submitted successfully"")","99000013082","list(workflow_id = ""99000013082"", status = ""  2022-06-14 06:21:40  ERROR  "")","  2022-06-14 06:21:40  ERROR  ","FALSE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","AmerifluxLBL"
"18","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Niwot Ridge","1000000014","list(met = list(source = ""ERA5""))","list()","list(workflow_id = ""99000013083"", status = ""Submitted successfully"")","99000013083","list(workflow_id = ""99000013083"", status = ""  2022-06-14 06:21:46  ERROR  "")","  2022-06-14 06:21:46  ERROR  ","FALSE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","AmerifluxLBL"
"19","758","temperate.Early_Hardwood","2004-06-01","2004-09-30","FALSE","1","Early hardwood, Harvard Forest EMS Tower/HFR1 (US-Ha1)","5000000001","list(met = list(source = ""CRUNCEP""), lu = list(id = 294), thsum = list(id = 295), veg = list(id = 296), soil = list(id = 297))","list(model = list(phenol.scheme = 0, ed_misc = list(output_month = 12), edin = ""ED2IN.r2.2.0""))","list(workflow_id = ""99000013084"", status = ""Submitted successfully"")","99000013084","list(workflow_id = ""99000013084"", status = c(""TRAIT  2022-06-14 06:21:50  2022-06-14 06:21:51  DONE  "", ""META  2022-06-14 06:21:51  2022-06-14 06:21:51  DONE  "", ""CONFIG  2022-06-14 06:21:51  2022-06-14 06:21:52  DONE  "", ""MODEL  2022-06-14 06:21:52  2022-06-14 06:22:52  ERROR  ""))","MODEL  2022-06-14 06:21:52  2022-06-14 06:22:52  ERROR  ","FALSE","ED2.2","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"20","758","temperate.North_Mid_Hardwood","2004-06-01","2004-09-30","FALSE","1","Mid hardwood, Harvard Forest EMS Tower/HFR1 (US-Ha1)","5000000001","list(met = list(source = ""CRUNCEP""), lu = list(id = 294), thsum = list(id = 295), veg = list(id = 296), soil = list(id = 297))","list(model = list(phenol.scheme = 0, ed_misc = list(output_month = 12), edin = ""ED2IN.r2.2.0""))","list(workflow_id = ""99000013085"", status = ""Submitted successfully"")","99000013085","list(workflow_id = ""99000013085"", status = c(""TRAIT  2022-06-14 06:22:57  2022-06-14 06:22:58  DONE  "", ""META  2022-06-14 06:22:58  2022-06-14 06:22:58  DONE  "", ""CONFIG  2022-06-14 06:22:58  2022-06-14 06:22:59  DONE  "", ""MODEL  2022-06-14 06:22:59  2022-06-14 06:23:49  ERROR  ""))","MODEL  2022-06-14 06:22:59  2022-06-14 06:23:49  ERROR  ","FALSE","ED2.2","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"21","758","temperate.Late_Hardwood","2004-06-01","2004-09-30","FALSE","1","Late hardwood, Harvard Forest EMS Tower/HFR1 (US-Ha1)","5000000001","list(met = list(source = ""CRUNCEP""), lu = list(id = 294), thsum = list(id = 295), veg = list(id = 296), soil = list(id = 297))","list(model = list(phenol.scheme = 0, ed_misc = list(output_month = 12), edin = ""ED2IN.r2.2.0""))","list(workflow_id = ""99000013086"", status = ""Submitted successfully"")","99000013086","list(workflow_id = ""99000013086"", status = c(""TRAIT  2022-06-14 06:23:53  2022-06-14 06:23:54  DONE  "", ""META  2022-06-14 06:23:54  2022-06-14 06:23:54  DONE  "", ""CONFIG  2022-06-14 06:23:54  2022-06-14 06:23:55  DONE  "", ""MODEL  2022-06-14 06:23:55  2022-06-14 06:24:55  ERROR  ""))","MODEL  2022-06-14 06:23:55  2022-06-14 06:24:55  ERROR  ","FALSE","ED2.2","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"22","758","temperate.Late_Conifer","2004-06-01","2004-09-30","FALSE","1","Late conifer, Harvard Forest EMS Tower/HFR1 (US-Ha1)","5000000001","list(met = list(source = ""CRUNCEP""), lu = list(id = 294), thsum = list(id = 295), veg = list(id = 296), soil = list(id = 297))","list(model = list(phenol.scheme = 0, ed_misc = list(output_month = 12), edin = ""ED2IN.r2.2.0""))","list(workflow_id = ""99000013087"", status = ""Submitted successfully"")","99000013087","list(workflow_id = ""99000013087"", status = c(""TRAIT  2022-06-14 06:25:00  2022-06-14 06:25:01  DONE  "", ""META  2022-06-14 06:25:01  2022-06-14 06:25:01  DONE  "", ""CONFIG  2022-06-14 06:25:01  2022-06-14 06:25:02  DONE  "", ""MODEL  2022-06-14 06:25:02  2022-06-14 06:25:52  ERROR  ""))","MODEL  2022-06-14 06:25:02  2022-06-14 06:25:52  ERROR  ","FALSE","ED2.2","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"23","758","temperate.Northern_Pine","2004-06-01","2004-09-30","FALSE","1","Pine, Harvard Forest EMS Tower/HFR1 (US-Ha1)","5000000001","list(met = list(source = ""CRUNCEP""), lu = list(id = 294), thsum = list(id = 295), veg = list(id = 296), soil = list(id = 297))","list(model = list(phenol.scheme = 0, ed_misc = list(output_month = 12), edin = ""ED2IN.r2.2.0""))","list(workflow_id = ""99000013088"", status = ""Submitted successfully"")","99000013088","list(workflow_id = ""99000013088"", status = c(""TRAIT  2022-06-14 06:25:56  2022-06-14 06:25:57  DONE  "", ""META  2022-06-14 06:25:57  2022-06-14 06:25:57  DONE  "", ""CONFIG  2022-06-14 06:25:57  2022-06-14 06:25:58  DONE  "", ""MODEL  2022-06-14 06:25:58  2022-06-14 06:26:48  ERROR  ""))","MODEL  2022-06-14 06:25:58  2022-06-14 06:26:48  ERROR  ","FALSE","ED2.2","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"24","758","c(""temperate.Early_Hardwood"", ""temperate.North_Mid_Hardwood"", ""temperate.Late_Hardwood"", ""temperate.Northern_Pine"", ""temperate.Late_Conifer"")","2004-06-01","2009-11-30","FALSE","1","Multi-PFT, Harvard Forest EMS Tower/HFR1 (US-Ha1)","5000000001","list(met = list(source = ""CRUNCEP""), lu = list(id = 294), thsum = list(id = 295), veg = list(id = 296), soil = list(id = 297))","list(model = list(phenol.scheme = 0, ed_misc = list(output_month = 12), edin = ""ED2IN.r2.2.0""))","list(workflow_id = ""99000013089"", status = ""Submitted successfully"")","99000013089","list(workflow_id = ""99000013089"", status = c(""TRAIT  2022-06-14 06:26:52  2022-06-14 06:26:57  DONE  "", ""META  2022-06-14 06:26:57  2022-06-14 06:26:57  DONE  "", ""CONFIG  2022-06-14 06:26:57  2022-06-14 06:26:59  DONE  "", ""MODEL  2022-06-14 06:26:59  2022-06-14 06:36:30  ERROR  ""))","MODEL  2022-06-14 06:26:59  2022-06-14 06:36:30  ERROR  ","FALSE","ED2.2","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
