"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022131"", status = ""Submitted successfully"")","99000022131","list(workflow_id = ""99000022131"", status = c(""TRAIT  2022-08-24 06:15:50  2022-08-24 06:15:51  DONE  "", ""META  2022-08-24 06:15:51  2022-08-24 06:15:51  DONE  "", ""CONFIG  2022-08-24 06:15:51  2022-08-24 06:15:51  DONE  "", ""MODEL  2022-08-24 06:15:51  2022-08-24 06:16:01  DONE  "", ""OUTPUT  2022-08-24 06:16:01  2022-08-24 06:16:01  DONE  "", ""ENSEMBLE  2022-08-24 06:16:01  2022-08-24 06:16:02  DONE  "", ""FINISHED  2022-08-24 06:16:02  2022-08-24 06:16:02  DONE  ""))","FINISHED  2022-08-24 06:16:02  2022-08-24 06:16:02  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022132"", status = ""Submitted successfully"")","99000022132","list(workflow_id = ""99000022132"", status = c(""TRAIT  2022-08-24 06:16:06  2022-08-24 06:16:07  DONE  "", ""META  2022-08-24 06:16:07  2022-08-24 06:16:07  DONE  "", ""CONFIG  2022-08-24 06:16:07  2022-08-24 06:16:08  DONE  "", ""MODEL  2022-08-24 06:16:08  2022-08-24 06:16:18  DONE  "", ""OUTPUT  2022-08-24 06:16:18  2022-08-24 06:16:18  DONE  "", ""ENSEMBLE  2022-08-24 06:16:18  2022-08-24 06:16:18  DONE  "", ""FINISHED  2022-08-24 06:16:18  2022-08-24 06:16:18  DONE  ""))","FINISHED  2022-08-24 06:16:18  2022-08-24 06:16:18  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022133"", status = ""Submitted successfully"")","99000022133","list(workflow_id = ""99000022133"", status = c(""TRAIT  2022-08-24 06:16:23  2022-08-24 06:16:24  DONE  "", ""META  2022-08-24 06:16:24  2022-08-24 06:16:24  DONE  "", ""CONFIG  2022-08-24 06:16:24  2022-08-24 06:16:25  DONE  "", ""MODEL  2022-08-24 06:16:25  2022-08-24 06:16:35  DONE  "", ""OUTPUT  2022-08-24 06:16:35  2022-08-24 06:16:35  DONE  "", ""ENSEMBLE  2022-08-24 06:16:35  2022-08-24 06:16:35  DONE  "", ""FINISHED  2022-08-24 06:16:35  2022-08-24 06:16:35  DONE  ""))","FINISHED  2022-08-24 06:16:35  2022-08-24 06:16:35  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022134"", status = ""Submitted successfully"")","99000022134","list(workflow_id = ""99000022134"", status = c(""TRAIT  2022-08-24 06:16:43  2022-08-24 06:16:44  DONE  "", ""META  2022-08-24 06:16:44  2022-08-24 06:16:44  DONE  "", ""CONFIG  2022-08-24 06:16:44  2022-08-24 06:16:44  DONE  "", ""MODEL  2022-08-24 06:16:44  2022-08-24 06:16:54  DONE  "", ""OUTPUT  2022-08-24 06:16:54  2022-08-24 06:16:54  DONE  "", ""ENSEMBLE  2022-08-24 06:16:54  2022-08-24 06:16:54  DONE  "", ""FINISHED  2022-08-24 06:16:54  2022-08-24 06:16:54  DONE  ""))","FINISHED  2022-08-24 06:16:54  2022-08-24 06:16:54  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022135"", status = ""Submitted successfully"")","99000022135","list(workflow_id = ""99000022135"", status = c(""TRAIT  2022-08-24 06:17:00  2022-08-24 06:17:01  DONE  "", ""META  2022-08-24 06:17:01  2022-08-24 06:17:01  DONE  "", ""CONFIG  2022-08-24 06:17:01  2022-08-24 06:17:01  DONE  "", ""MODEL  2022-08-24 06:17:01  2022-08-24 06:17:12  DONE  "", ""OUTPUT  2022-08-24 06:17:12  2022-08-24 06:17:12  DONE  "", ""ENSEMBLE  2022-08-24 06:17:12  2022-08-24 06:17:12  DONE  "", ""FINISHED  2022-08-24 06:17:12  2022-08-24 06:17:12  DONE  ""))","FINISHED  2022-08-24 06:17:12  2022-08-24 06:17:12  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022136"", status = ""Submitted successfully"")","99000022136","list(workflow_id = ""99000022136"", status = c(""TRAIT  2022-08-24 06:17:16  2022-08-24 06:17:17  DONE  "", ""META  2022-08-24 06:17:17  2022-08-24 06:17:17  DONE  "", ""CONFIG  2022-08-24 06:17:17  2022-08-24 06:17:18  DONE  "", ""MODEL  2022-08-24 06:17:18  2022-08-24 06:17:28  DONE  "", ""OUTPUT  2022-08-24 06:17:28  2022-08-24 06:17:28  DONE  "", ""ENSEMBLE  2022-08-24 06:17:28  2022-08-24 06:17:29  DONE  "", ""FINISHED  2022-08-24 06:17:29  2022-08-24 06:17:29  DONE  ""))","FINISHED  2022-08-24 06:17:29  2022-08-24 06:17:29  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022137"", status = ""Submitted successfully"")","99000022137","list(workflow_id = ""99000022137"", status = c(""TRAIT  2022-08-24 06:17:33  2022-08-24 06:17:34  DONE  "", ""META  2022-08-24 06:17:34  2022-08-24 06:17:34  DONE  "", ""CONFIG  2022-08-24 06:17:34  2022-08-24 06:17:35  DONE  "", ""MODEL  2022-08-24 06:17:35  2022-08-24 06:17:45  DONE  "", ""OUTPUT  2022-08-24 06:17:45  2022-08-24 06:17:45  DONE  "", ""ENSEMBLE  2022-08-24 06:17:45  2022-08-24 06:17:46  DONE  "", ""FINISHED  2022-08-24 06:17:46  2022-08-24 06:17:46  DONE  ""))","FINISHED  2022-08-24 06:17:46  2022-08-24 06:17:46  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022138"", status = ""Submitted successfully"")","99000022138","list(workflow_id = ""99000022138"", status = c(""TRAIT  2022-08-24 06:17:51  2022-08-24 06:17:52  DONE  "", ""META  2022-08-24 06:17:52  2022-08-24 06:17:52  DONE  "", ""CONFIG  2022-08-24 06:17:52  2022-08-24 06:17:53  DONE  "", ""MODEL  2022-08-24 06:17:53  2022-08-24 06:18:03  DONE  "", ""OUTPUT  2022-08-24 06:18:03  2022-08-24 06:18:03  DONE  "", ""ENSEMBLE  2022-08-24 06:18:03  2022-08-24 06:18:03  DONE  "", ""FINISHED  2022-08-24 06:18:03  2022-08-24 06:18:03  DONE  ""))","FINISHED  2022-08-24 06:18:03  2022-08-24 06:18:03  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022139"", status = ""Submitted successfully"")","99000022139","list(workflow_id = ""99000022139"", status = c(""TRAIT  2022-08-24 06:18:07  2022-08-24 06:18:08  DONE  "", ""META  2022-08-24 06:18:08  2022-08-24 06:18:08  DONE  "", ""CONFIG  2022-08-24 06:18:08  2022-08-24 06:18:09  DONE  "", ""MODEL  2022-08-24 06:18:09  2022-08-24 06:18:19  DONE  "", ""OUTPUT  2022-08-24 06:18:19  2022-08-24 06:18:19  DONE  "", ""ENSEMBLE  2022-08-24 06:18:19  2022-08-24 06:18:19  DONE  "", ""FINISHED  2022-08-24 06:18:19  2022-08-24 06:18:19  DONE  ""))","FINISHED  2022-08-24 06:18:19  2022-08-24 06:18:19  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000022140"", status = ""Submitted successfully"")","99000022140","list(workflow_id = ""99000022140"", status = c(""TRAIT  2022-08-24 06:18:24  2022-08-24 06:18:25  DONE  "", ""META  2022-08-24 06:18:25  2022-08-24 06:18:25  DONE  "", ""CONFIG  2022-08-24 06:18:25  2022-08-24 06:18:25  DONE  "", ""MODEL  2022-08-24 06:18:25  2022-08-24 06:18:35  DONE  "", ""OUTPUT  2022-08-24 06:18:35  2022-08-24 06:18:35  DONE  "", ""ENSEMBLE  2022-08-24 06:18:35  2022-08-24 06:18:36  DONE  "", ""FINISHED  2022-08-24 06:18:36  2022-08-24 06:18:36  DONE  ""))","FINISHED  2022-08-24 06:18:36  2022-08-24 06:18:36  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
